location,Базель,Базель,Базель,Базель
lat,47.54694,47.54694,47.54694,47.54694
lon,7.56892,7.56892,7.56892,7.56892
asl,283.697,283.697,283.697,283.697
variable,Temperature,Relative Humidity,Wind Speed,Wind Direction
unit,°C,%,km/h,°
level,2 m elevation corrected,2 m,10 m,10 m
resolution,hourly,hourly,hourly,hourly
aggregation,None,None,None,None
timestamp,Базель Temperature [2 m elevation corrected],Базель Relative Humidity [2 m],Базель Wind Speed [10 m],Базель Wind Direction [10 m]
20220114T1000,0.7005287,77.0,0.35999998,180.0
20220114T1100,1.9605286,69.0,0.8049845,63.43495
20220114T1200,3.0905285,68.0,1.8,53.130096
20220114T1300,4.6905284,64.0,5.5887027,75.06858
20220114T1400,6.0305285,60.0,5.937272,75.96376
20220114T1500,6.9005284,59.0,6.28713,76.75948
20220114T1600,6.9005284,62.0,5.6920996,71.56504
20220114T1700,6.5205283,64.0,6.9527545,68.7495
20220114T1800,5.3905287,72.0,7.342588,78.69006
20220114T1900,3.5005286,84.0,6.8399997,89.99999
20220114T2000,2.3805285,88.0,4.802999,102.99461
20220114T2100,1.6805286,89.0,3.0547013,135.0
20220114T2200,0.7505287,93.0,2.8799999,180.0
20220114T2300,0.110528655,93.0,2.2768397,161.56505
20220115T0000,0.030528657,90.0,2.5959969,123.69006
20220115T0100,-0.12947133,89.0,2.6208394,105.9454
20220115T0200,-0.20947134,90.0,3.219938,116.56505
20220115T0300,-0.14947134,88.0,3.319036,130.60129
20220115T0400,-0.04947134,87.0,2.8116899,129.80557
20220115T0500,0.110528655,87.0,2.4149535,116.56505
20220115T0600,0.56052864,88.0,4.6938257,122.47119
20220115T0700,2.0005286,85.0,9.339208,117.55281
20220115T0800,1.5505286,87.0,12.245293,114.30454
20220115T0900,1.3505287,88.0,14.33234,115.27772
20220115T1000,2.2905285,82.0,16.279802,108.03428
20220115T1100,3.3705285,78.0,17.462782,104.322716
20220115T1200,4.4505286,75.0,17.106628,98.471146
20220115T1300,5.8505287,68.0,12.371645,98.36588
20220115T1400,6.9905286,66.0,10.805999,91.90914
20220115T1500,7.5805287,65.0,9.726665,87.8789
20220115T1600,7.2605286,68.0,8.225035,66.8014
20220115T1700,6.290529,73.0,8.217153,61.18921
20220115T1800,3.8805285,88.0,8.473393,77.73522
20220115T1900,1.4705287,90.0,6.5693827,99.46232
20220115T2000,1.0405287,90.0,4.3349743,138.36646
20220115T2100,1.2905287,90.0,5.3517847,137.72632
20220115T2200,1.5105287,90.0,5.6233797,129.80557
20220115T2300,1.7605287,86.0,4.6102495,128.6598
20220116T0000,1.9505286,82.0,5.4833565,113.19859
20220116T0100,2.1005285,79.0,5.815978,111.80141
20220116T0200,2.1205285,77.0,5.0142193,111.03751
20220116T0300,1.8405286,78.0,3.6,126.869896
20220116T0400,1.7805287,72.0,4.32,180.0
20220116T0500,1.2805287,60.0,7.072878,194.74356
20220116T0600,0.5705287,57.0,7.754637,201.8014
20220116T0700,0.45052865,66.0,6.9247384,207.89728
20220116T0800,0.6905287,67.0,5.0142193,201.0375
20220116T0900,0.90052867,67.0,3.96,180.0
20220116T1000,2.3105285,64.0,2.968636,255.96376
20220116T1100,4.2205286,58.0,11.212135,275.52753
20220116T1200,5.5305285,55.0,16.75064,278.65253
20220116T1300,4.8605285,52.0,17.81909,278.1301
20220116T1400,5.3805285,48.0,19.201874,276.4588
